"Участок,ФИО судьи,Адрес,Телефон,Район,""Сотрудник"",Почта"
"11,ЛЮБИМОВА Елена Леонидовна,""4-я линия В.О., д.35-37, литера А, Санкт-Петербург, 199004"",""2466827, 2466825"",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"12,ВОРОБЬЕВ Валерий Андреевич,""Биржевая линия д. 1/1, литера Ж, Санкт-Петербург, 199034"",""2466805, 2466806"",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"13,ЛАЗАРЕВА Антонина Григорьевна,""4-я линия В.О., д.21, литера А, Санкт-Петербург, 199004"",""2466821, "",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"14,РАССКАЗОВА Анастасия Алексеевна,""В.О. пер. Декабристов д. 8, литера А, Санкт-Петербург, 199155"",""4098124, 4098123"",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"15,КИРОВА Наталья Александровна,""7-я линия В.О., д.60, литера А, Санкт-Петербург, 199004"",""2466831, "",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"16,СВЕТЛАКОВА Елена Андреевна,""17-я линия В.О., д.8, лит. Б, Санкт-Петербург, 199034"",""2466867, 3214063"",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"17,ЕВСТИГНЕЕВА Ольга Николаевна,""В.О., пр.Кима, д. 7/19, Санкт-Петербург, 199155"",""2465942, "",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"18,ЛЕВКО Анна Михайловна,""15-я линия В.О., д.86, литера В, Санкт-Петербург, 199178"",""2466834, 3231524"",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"19,МЕДВЕДЕВА Вера Сергеевна,""ул. Маршала Новикова, д. 13, лит.А, Санкт-Петербург, 197349"",""2460726, 2460727"",ПРИМОРСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"20,ПЕСОЦКАЯ Яна Александровна,""Биржевая линия д. 1/1, литера Ж, "",""2466810, "",ВАСИЛЕОСТРОВСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"21,ПОЛУХИНА Юлия Владимировна,""Суздальский пр., д. 11, литера А, Санкт-Петербург,194355"",""2465359, 2465357"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"22,СПЕРАНСКАЯ Светлана Александровна,""Светлановский пр., д. 21, Санкт-Петербург,194223"",""2465479, "",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"23,КУЛАБУХОВА Ирина Геннадьевна,""Светлановский пр., д. 21, Санкт-Петербург,194223"",""2465486, "",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"24,ВЕРШКОВА Юлия Сергеевна,""Светлановский пр., д. 21, Санкт-Петербург,194223"",""2465490, "",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"25,СУЗИ Ольга Юрьевна,""Светлановский пр., д. 21, Санкт-Петербург,194223"",""2465483, "",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"26,ОСИПОВА Наталья Николаевна,""Светлановский пр., д. 21, Санкт-Петербург,194223"",""2465476, 2465477"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"27,ТУЛУЗАКОВА Ольга Васильевна,""пр. М. Тореза, д. 34, литера А, Санкт-Петербург,194022"",2465363,ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"28,  ГОРДОН Ирина Александровна,""пр. М. Тореза, д. 34, литера А,Санкт-Петербург,194020 "",2465366,ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"29,МИЩУК Ирина Александровна,""Светлановский пр., д. 21,Санкт-Петербург,194223 "",""5524555, 2465480"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"30,НОВИКОВА Юлия Михайловна,""ул. Есенина, д. 7, литера А,Санкт-Петербург,194354 "",""2465465, 2465460"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"31,ПОЛЯКОВА  Ирина Михайловна,""ул. Гданьская, д. 7,Санкт-Петербург,194017 "",""2466884, 2466886"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"32,ГОРБАТОВА Анна Николаевна,""ул. Есенина, д. 7, литера А,Санкт-Петербург,194354 "",2465469,ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"33,КРОТОВА Ирина Анатольевна,""пр. М. Тореза, д. 34, литера А,Санкт-Петербург,194021 "",2465456,ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"34,НОВИКОВА Наталья Викторовна,""пр. Энгельса, д. 17, Санкт-Петербург, 194156"",""4098149, 4098150"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"35,КУРАСОВА Елена Тимофеевна,""пр. Энгельса, д. 17, Санкт-Петербург, 194156"",""4098146, 4098147"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"36,ШУБИНА Светлана Геннадьевна,""ул. Есенина, д. 7, литера А,Санкт-Петербург,194354 "",2465465,ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"37,ВОДОМЕРОВ Алексей Александрович,""Светлановский пр., д. 21, Санкт-Петербург,194223"",""2465474, 2465947"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"38,ТРУСКАЛЕНКО Елизавета Сергеевна,""ул. Есенина, д. 7, литера А, Санкт-Петербург,194354"",""2465468, 2465466"",ВЫБОРГСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"39,ЕВГЕНЬЕВА Ирина Игоревна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412361, 2412369"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"40,КУЗИНА  Александра Эдуардовна,""ул. Садовая, д.55-57, литера А, Санкт-Петербург,190068 "",""2462638, 3102970"",АДМИРАЛТЕЙСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"41,АРХИПОВА Ирина Ивановна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412351, 2412951"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"42,ЛИСИЦЫНА Ольга Владимировна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412362, 2412952"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"43,НОВИКОВА Ирина Сергеевна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412353, 2412373"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"44,ПАВЛОВА Людмила Петровна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",2412384,КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"45,ТУЧКОВА  Татьяна Анатольевна,""ул. Милионная, д. 21, литера А,  Санкт-Петербург, 191186"",""5704581, 2466890"",ЦЕНТРАЛЬНЫЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"46,МЕНЬШИКОВА Ирина Юрьевна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412366, 2412356"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"47,ИСКАКОВА Мария Шамильевна ,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197 "",""2412378, 2412347"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"48,ГОЛОВА Екатерина Александровна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412358, 2412348"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"49,ЛЕВИНА  Екатерина Витальевна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412349, 2412990"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"50,ДАНИЛОВ Юрий Валерьянович,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412350, 2465919"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"51,КАЙНОВА Рафиса Рафисовна,""ул. Тимуровская, д. 8, корп. 1, литера Б, Санкт-Петербург,195276"",""4976228, 4976229"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"52,МАКАРОВА Маргарита Геннадьевна,""Кондратьевский пр., д. 24, литера А,Санкт-Петербург, 195197 "",""2412352, 2412392"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"53,ПАВЛЫЧЕВА Юлия Алексеевна,""ул. Тимуровская, д. 8, корп. 1, литера Б, Санкт-Петербург,195276"",""2466859, 2465857"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"54,ШАРОНОВА Наталья Витальевна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412354, 2412383"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"55,КУЗНЕЦОВА Валерия Александровна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197"",""2412355, 2412365"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"56,ЛОПАТИНА Ирина Александровна,""ул. Тимуровская, д. 8, корп. 1, литера Б, Санкт-Петербург,195276"",""2466858, 2465854"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"57,ДАВЫДОВА Анна Михайловна,""Кондратьевский пр., д. 24, литера А, Санкт-Петербург, 195197 "",""2412357, 2412367"",КАЛИНИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"58,МАГЕР Татьяна Владимировна,""ул. Возрождения, д. 13, литера А, Санкт-Петербург,198188"",""2465392, 2465401"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"59,ТАКУШИНОВА  Ирина Мухамедовна,""пр. Стачек, д. 105, корп. 1, литера Б,  Санкт-Петербург, 198303"",""2415100, 2415102"",МОСКОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"60,ВАСИЛЬЕВА Светлана Геннадьевна,""ул. Стойкости, д. 30, корп. 1, Санкт-Петербург,198261"",""2466848, 2466849"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"61,ЛОСЕВА Александра Гедальевна,""ул. Возрождения, д. 13, литера А, Санкт-Петербург,198188"",""2465398, 2465396"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"62,ЛЕУШИНА Светлана Дмитриевна,""пр. Стачек, д. 105, корп. 1, литера Б, Санкт-Петербург,198303"",""2415103, 2415108"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"63,КАКИНЬ Игорь Юльянович,""пр. Стачек, д. 105, корп. 1, литера Б, Санкт-Петербург,198303"",""2415104, 2415107"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"64,СУХАРНИКОВА Ирина Ивановна,""пр. Стачек, д. 105, корп. 1, литера Б, Санкт-Петербург,198303"",""2415105, 2415109"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"65,ОСЕТРОВА Татьяна Юрьевна,""ул. Двинская, д. 14,   Санкт-Петербург,198035"",""2465371, 2465375"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"66,ЦЫГАНОВА Татьяна Аллеговна,""пр. Стачек, д. 105, корп. 1, литера Б, Санкт-Петербург,198303"",""2415110, 2415101"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"67,ПАРШИКОВ Александр Михайлович,""ул. Двинская, д. 14, Санкт-Петербург,198035"",""2465368, 2465378"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"68,НАЗАРОВА Ирина Александровна,""ул. Возрождения, д. 13, литера А, Санкт-Петербург,198188"",""2465383, 2465399"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"69,ДОНСКАЯ Виктория Владимировна,""ул. Двинская, д. 14, Санкт-Петербург,198035"",""2465377, 2465373"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"70,ЧИРКОВА Ольга Валентиновна,""ул. Возрождения, д. 13, литера А, Санкт-Петербург,198188"",""2465385, 2465386"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"71,САФРЮК Виорика Васильевна,""ул. Возрождения, д. 13, литера А, Санкт-Петербург,198188 "",""2465359, 2465900"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"72,МИНОСЯН Карина Львовна,""ул. Двинская, д. 14, Санкт-Петербург,198035 "","", 2465370"",КИРОВСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"73,МОРОЗОВА Ольга Владимировна,""Бульвар Трудящихся, д. 29/52, литера А, г. Колпино, Санкт-Петербург, 196657"",""2465220, 2465221"",КОЛПИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"74,СЕМЕНОВА Анна Евгеньевна,""Бульвар Трудящихся, д. 29/52, литера А, г. Колпино, Санкт-Петербург, 196657"",""2465224, 2465225"",КОЛПИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"75,УСТЮГОВА Галина Валерьевна,""Бульвар Трудящихся, д. 29/52, литера А, г. Колпино, Санкт-Петербург, 196657"",""2465228, 2465229"",КОЛПИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"76,ЧЕРВОНАЯ Татьяна Александровна,""Бульвар Трудящихся, д. 29/52, литера А, г. Колпино, Санкт-Петербург, 196657"",""2465232, 2465233"",КОЛПИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"77, МУШНИКОВА Юлия Андреевна,""Бульвар Трудящихся, д. 29/52, литера А, г. Колпино, Санкт-Петербург, 196657"",""2465236, 2465237"",КОЛПИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"78,ФЕДОРОВИЧ Светлана Сергеевна,""Бульвар Трудящихся, д. 29/52, литера А, г. Колпино, Санкт-Петербург, 196657"",""2465240, 2465241"",КОЛПИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"79,ФИЛИППОВА  Кристина Александровна,""Бульвар Трудящихся, д. 29/52, литера А, г. Колпино, Санкт-Петербург, 196657"",""2465244, 2465245"",КОЛПИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"80,САВЕЛЬЕВА Ольга Владимировна,""Бульвар Трудящихся, д. 29/52, литера А, г. Колпино, Санкт-Петербург, 196657 "",""2465251, 2465249"",КОЛПИНСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"81,НЕДОСПАСОВА Елена Сергеевна,""пр. Энергетиков, д. 26, литера А, Санкт-Петербург,195248"",""2465904, 2465905"",КРАСНОГВАРДЕЙСКИЙ,Белоусова Татьяна Валерьевна,belousova@zakon.gov.spb.ru"
"82, ,""Индустриальный пр., д. 10, корп.1, литера А, Санкт-Петербург, 195426"",""2413242, 2413299"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"83,КОЛБАСОВА Людмила Ивановна,""Индустриальный пр., д. 10, корп.1, литера А, Санкт-Петербург, 195426"",""2413243, 2413247"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"84,КИРПИТА Елена Александровна,""пр. Энергетиков, д. 26, литера А, Санкт-Петербург,195248"",""2465908, 2465909"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"85,МАЙОРОВ Андрей Федорович,""Индустриальный пр., д. 10, корп.1, литера А, Санкт-Петербург, 195426"",""2413245, 2413245"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"86,ОСИПОВА Анастасия Сергеевна,""Индустриальный пр., д. 10, корп.1, литера А, Санкт-Петербург, 195426"",""2413246, 2413296"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"87,КАЙНОВА Юлия Владимировна,""Гранитная ул., д. 28 корп. 2, Санкт-Петербург,195213"",""2466840, 2466841"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"88,БОЧКОВ  Владимир Александрович,""Якорная ул., д. 6, литера А, Санкт-Петербург,195027"",""2466843, 2466844"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"89, ПРОПОРЦИОНАЛЬНАЯ Александра Сергеевна,""пр. Энергетиков, д. 26, литера А, Санкт-Петербург,195248"",""2465912, 2465913"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"90,КЛЮЧЕВСКАЯ Яна Юрьевна,""Индустриальный пр. д. 10 корп.1, литера А, Санкт-Петербург, 195426"",""2413290, 2413298"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"91,АЛЕКСАНДРОВА  Светлана Александровна,""Индустриальный пр., д. 10, корп.1, литера А, Санкт-Петербург, 195426"",""2413291, 2413297"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"92,ВОВК Вера Ефимовна,""Индустриальный пр., д. 10, корп.1, литера А, Санкт-Петербург, 195426"",""2413292, 2413292"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"93,ЖЕЛТУХИНА Нина Михайловна,""Индустриальный пр., д. 10, корп. 1, литера А, Санкт-Петербург, 195426"","", 5205129"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"94,ПОДКОРЫТОВА Ольга Аркадьевна,""Индустриальный пр., д. 10, корп. 1, литера А, Санкт-Петербург, 195426"",""2413294, 2413294"",КРАСНОГВАРДЕЙСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"95,ХАРЕНКО Елена Степановна,""Петергофское шоссе, д. 3, корп. 1, литера В, Санкт-Петербург, 198330"",""2465975, 2465976"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"96,ИВАНОВА Марина Александровна,""ул. Партизана Германа, д. 22, литера Б, Санкт-Петербург, 198205"",""2465571, 2465293"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"97,БОЙКОВА Анна Васильевна,""ул. Партизана Германа, д. 14/117, Санкт-Петербург, 198205"",""2465955, 2465954"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"98,САЛАХОВА Елена Сергеевна,""ул. Партизана Германа, д. 22, литера Б, Санкт-Петербург, 198205"",""2465290, 2465298"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"99,ЗАБУРКО Екатерина Николаевна,""ул. Партизана Германа, д. 14/117, Санкт-Петербург, 198205"",""2465958, 7364294"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"100,НОВИКОВА Ольга Святославовна,""ул. Партизана Германа, д. 22, литера Б, Санкт-Петербург, 198205"",""2465303, 2465304"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"101,ЛЫКОВА  Светлана Александровна,""ул. Тамбасова, д. 27, корп. 2, Санкт-Петербург, 198259"",""2465962, 2465963"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"102,ГОРЮНОВА Елена Николаевна,""ул. Тамбасова, д. 27, корп. 2, Санкт-Петербург, 198259"",""2465966, 2465967"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"103,ЕГОРОВ Андрей Валерьевич,""ул. Авангардная, д. 47, литера А, Санкт-Петербург, 198205"",""2465980, 2465981"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"104,ПЛЕХАНОВА Анна Владимировна,""ул. Партизана Германа, д. 22, литера Б, Санкт-Петербург, 198205"",""2465296, 2465295"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"105,АНИСКИН Константин Александрович,""ул. Партизана Германа, д. 22, литера Б, Санкт-Петербург, 198205"",""2465289, 2465300"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"106,ИВАНОВ Владислав Сергеевич,""ул. Тамбасова, д. 27, корп. 2, Санкт-Петербург, 198259"",""2465970, 2465971"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"107,ПРИТУЖАЛЬНИКОВА Ольга Леонидовна,""п. Горелово, Красносельское шоссе, д. 46, Санкт-Петербург, 198323"",""2465491, 2465492"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"108,ПОПОВА Екатерина Анатольевна,""п. Горелово, Красносельское шоссе, д. 46, Санкт-Петербург, 198323"",""4098119, 4098120"",КРАСНОСЕЛЬСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"109,ПРОСКУРНИКОВА Светлана Михайловна,""ул. Пролетарская, д. 21-23, г. Кронштадт, Санкт-Петербург,"",""2462650, 2462651"",КРОНШТАДТСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"110,КОВИЗИНА Лилия Анатольевна,""ул. Пролетарская, д. 21-23, г. Кронштадт, Санкт-Петербург,"",""2462654, 2462655"",КРОНШТАДТСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"111,СИМОНОВА  Ираида Евгеньевна,""ул. Токарева, д. 15, литера А, г. Сестрорецк, Санкт-Петербург,197706"",""2465257, 2465258"",КУРОРТНЫЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"112,МОРГУНОВА Светлана Ивановна,""ул. Володарского, д. 1, литера А, г. Сестрорецк, Санкт-Петербург,197706"",""2465255, 2465252"",КУРОРТНЫЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"113,САЛЬНИКОВА  Галина Владимировна,""пр. Ленина, д. 18,   г. Зеленогорск, Санкт-Петербург,197720"",""2465262, 2465263"",КУРОРТНЫЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"114,ВИНОГРАДОВА Елена Вячеславовна,""Александровская ул., д. 13, г. Ломоносов, Санкт-Петербург, 198412"",""2465986, 2465985"",ПЕТРОДВОРЦОВЫЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"115,УРОВА Наталья Григорьевна,""Дворцовый пр., д. 40, г. Ломоносов, Санкт-Петербург, 198412"",""2465991, 2465990"",ПЕТРОДВОРЦОВЫЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
"116,КОНДРАТЬЕВА  Анастасия Александровна,""Новоизмайловский пр., д. 67, к. 2,  Санкт-Петербург, 196247"",""5739781, 5739779"",МОСКОВСКИЙ,Ястреб Елена Владимировна,yastreb@zakon.gov.spb.ru"
